IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
193.122.101.195,4,4,0.00,101.30,0.00
144.24.83.39,4,4,0.00,138.63,0.00
152.67.222.250,4,4,0.00,140.38,0.00
131.186.30.44,4,4,0.00,141.76,0.00
8.220.242.52,4,4,0.00,143.41,0.00
141.164.51.185,4,4,0.00,193.18,0.00
193.123.235.59,4,4,0.00,193.18,0.00
152.70.239.191,4,4,0.00,198.59,0.00
146.56.186.211,4,4,0.00,224.57,0.00
129.154.50.220,4,3,0.25,138.73,0.00
144.24.78.162,4,3,0.25,140.57,0.00
150.230.249.48,4,3,0.25,149.09,0.00
129.154.60.48,4,2,0.50,135.95,0.00
